N_nodes,N_Executors,NumberExecutorCores,Max_epochs,learning_rate,Batch_Size,Cost
1,1,1,1,0.001,64,"0.044143809871660625, 0.019167876426216514, 0.03370632182552292, 0.03814776592234192, 0.03220834740302192, 0.024536111445517504, 0.025117293825430636, 0.032992770837159, 0.034477129346225106, 0.042127233125637636"
4,4,1,1,0.001,64,"0.055324025299407706, 0.056532788269695974, 0.019098552204237073, 0.02481648722516452, 0.03376583812125001, 0.04666968382051695, 0.01931603929157914, 0.02491454041713864, 0.0352551355218715, 0.027610903646247673"
1,1,4,1,0.001,256,"0.0952604026546687, 0.03506771579394532, 0.14600254646567584, 0.05685777022993558, 0.07136723140172545, 0.058128257667769384, 0.11837187341188865, 0.10675141860485293, 0.11200618356917998, 0.13356069197560214"
4,1,4,1,0.001,64,"0.02998598412208471, 0.022990787509450904, 0.022344743515686556, 0.025029961665741843, 0.017795136605850123, 0.021439208769539385, 0.025182275911496226, 0.028125486555824433, 0.025757646416437966, 0.018228715421465314"
1,4,4,1,0.001,64,"0.04250379816098179, 0.04188318520654929, 0.024152091425850532, 0.02033165309458602, 0.025940704614829502, 0.034520488973165855, 0.01732996787623267, 0.05865523220607026, 0.03355813915616107, 0.03673312398135352"
4,4,4,1,0.001,256,"0.037116300037199464, 0.09065445278478006, 0.2225949141400652, 0.029304712157885236, 0.12892558959878206, 0.1356848767731115, 0.08173488158719362, 0.5451707718730835, 0.0617868706176437, 0.07359144373193138"
1,1,1,3,0.001,256,"0.08025009748963242, 0.04577376080466742, 0.03481451396370853, 0.0467140343080112, 0.10696244621595534, 0.0781554032710547, 0.1578431002353257, 0.09384155220693662, 0.07233068994368674, 0.06296151366284587"
4,1,1,3,0.001,64,"0.03438560876808975, 0.0298988290962134, 0.036818655554373095, 0.03144422045092805, 0.0360863309466595, 0.034428232042818044, 0.03177382489713171, 0.036190326923150294, 0.04186453618374039, 0.03791904847896667"
1,4,1,3,0.001,64,"0.0616435299153162, 0.05763430449589177, 0.050130408271867696, 0.05199413855895907, 0.05319059415217594, 0.04989067947855795, 0.056253612060914976, 0.04760082394978729, 0.05580551003378683, 0.056602942496680714"
4,4,1,3,0.001,256,"0.011603280534460709,0.011446249761542777,0.012304994931375107,0.014739322402793222,0.01431676575064836,0.01401627692920717,0.012712670196483918,0.013868245735748002,0.013024233821662507,0.013606670713395178 "
1,1,4,3,0.001,64,"0.0387363134021,0.0241594256199,0.0256720826095,0.0294123186362,0.0260427284867,0.0219174906215,0.023117267813,0.0270416397354,0.0227588744084,0.0209506196321"
4,1,4,3,0.001,256,"0.011797078337789275,0.011609902187485944,0.009379206763670858,0.010609046834576776,0.00911321722800389,0.009625977679891302,0.009013245278078976,0.01148609430720935,0.009117268472565677,0.010875267463828383 "
1,4,4,3,0.001,256,"0.0396433669253,0.0719251092727,0.0285481736546,0.0579224719112,0.0546673107604,0.055504559922,0.0277174414333,0.0625281795787,0.115243119127,0.0290988416785"
4,4,4,3,0.001,64,"0.027437411958249093,0.016530033653856663,0.015435074512652908,0.018945017462524825,0.014286389984931008,0.029861444698525905,0.025989548431368026,0.010822419501832378,0.017289408028870655,0.020575203800541706"
1,1,1,1,0.01,256,"0.0062404678053,0.00639876123511,0.00654030746137,0.00565581701098,0.00627046319841,0.00663039708702,0.00549122938609,0.00612094087078,0.00765797121989,0.00595895638978"
4,1,1,1,0.01,64,"0.04323998224673904,0.03451674303912804,0.027389097663291437,0.05846529799983606,0.05602466296813016,0.01708581439301286,0.03177406895289213,0.030930267889960634,0.023767710522510165,0.04416042796704252"
1,4,1,1,0.01,64,"0.02238852211950892,0.017585717419232313,0.01855334768930921,0.024382992877195635,0.02172434235420061,0.022882745418326567,0.02097833514876166,0.02341527269102829,0.018848590769757582,0.017040327517966965"
4,4,1,1,0.01,256,"0.018717176767263106,0.020509208951970705,0.019839867618718688,0.020523024030613717,0.020075552829150654,0.020818891815582476,0.020573308018366616,0.019902996419631107,0.02171257370022201,0.02170042086922643 "
1,1,4,1,0.01,64,"0.00756294555831,0.00689569441376,0.00820291939364,0.00733651468359,0.00758377772939,0.00769320205677,0.0075729243877,0.00943800045092,0.00755544745163,0.00761015710447"
4,1,4,1,0.01,256,"0.013538479637684425,0.013704913237293163,0.01086095641199213,0.009961158555110306,0.009277423298459318,0.01045667531419935,0.011429117178379918,0.012880372690193103,0.010816412189588719,0.011360227635588674"
1,4,4,1,0.01,256,"0.00434062749271, 0.00517745490107, 0.00551094044184, 0.00537726990973, 0.00488728711191, 0.00474097309271, 0.004628273918, 0.00493792933055, 0.00675787318608, 0.00540977947101"
4,4,4,1,0.01,64,"0.0153545258848, 0.00927700075519, 0.0144824949529, 0.0137628295825, 0.0155491971564, 0.0152943181587, 0.00883293338477, 0.0147309443313, 0.0118938496365, 0.0146852839499"
1,1,1,3,0.01,64,"0.0192209674786, 0.0196318486244, 0.0200341244033, 0.0197434073385, 0.0194796309723, 0.0196651889498, 0.0192617109203, 0.0194260993562, 0.019032039365,0.01913417109203"
4,1,1,3,0.01,256,"0.0111398413805, 0.0105131571073, 0.0107622608177, 0.0114587626735, 0.0107952546523, 0.0116202712708, 0.0111487575173, 0.0114313130818, 0.011367284445, 0.0115299027485"
1,4,1,3,0.01,256,"0.0113241575355, 0.0114124517982, 0.0119534723418, 0.0104365545554, 0.0110597223847, 0.0112485214634, 0.0118247815258, 0.0112850264174, 0.0109668316618, 0.01121686112"
4,4,1,3,0.01,64,"0.0370664594615, 0.0366463454889, 0.0360215547151, 0.0370952255313, 0.0357075824828, 0.03643039123, 0.036219802333, 0.0372103147942, 0.0370739375229, 0.0366463454889"
1,1,4,3,0.01,256,"0.00815109542546, 0.00796980920799, 0.00802635083364, 0.00832399473574, 0.00780989416009, 0.0084060548019, 0.00826397940051, 0.00811523354758, 0.00774004563624, 0.00804190309631"
4,1,4,3,0.01,64,"0.0176317332053, 0.0182902787185, 0.0181465961399, 0.0184006794837, 0.0187575905659, 0.0182545212138, 0.0183962717752, 0.0189079215929, 0.0182268560206, 0.0182902787185"
1,4,4,3,0.01,64,"0.0345650077623, 0.035067464406, 0.0347247720723, 0.0367593111711, 0.0363916588843, 0.03569165852, 0.0360840410242, 0.0358714215774, 0.0341207201602, 0.03569165852"
4,4,4,3,0.01,256,"0.0122100332772, 0.0113128324318, 0.00873794200302, 0.012733699722, 0.00854133938563, 0.0142249034119, 0.0138104537108, 0.00907326507148, 0.00801710548215, 0.0125843703014"
